customer_id,total_transactions,active_days,total_transaction_value,average_transaction_amount,maximum_transaction_amount,historical_fraud_transactions,historical_fraud_rate,average_transaction_velocity,maximum_transaction_velocity,rapid_transaction_count,amount_anomaly_count,international_transaction_count,digital_transaction_count,average_behavioural_risk_score,maximum_behavioural_risk_score
100001,7,7,454.31,64.901429,169.00,0,0.0000,1.00000000,1.0000,0,0,5,4,1.2857,2
100002,9,9,1123.67,124.852222,678.06,0,0.0000,1.00000000,1.0000,0,1,6,4,1.3333,3
100003,7,7,475.41,67.915714,291.14,0,0.0000,1.00000000,1.0000,0,0,4,3,1.0000,2
100004,8,8,583.42,72.927500,482.00,0,0.0000,1.00000000,1.0000,0,0,6,3,1.2500,2
100005,6,6,420.01,70.001667,90.26,0,0.0000,1.00000000,1.0000,0,0,3,3,1.0000,2
100006,7,7,230.18,32.882857,79.36,0,0.0000,1.00000000,1.0000,0,0,6,2,1.1429,2
100007,4,4,399.35,99.837500,198.71,0,0.0000,1.00000000,1.0000,0,0,4,2,1.5000,2
100008,7,7,2354.68,336.382857,1483.82,1,0.1429,1.00000000,1.0000,0,1,4,4,1.4286,3
100009,4,4,300.02,75.005000,170.59,0,0.0000,1.00000000,1.0000,0,0,2,2,1.0000,2
100010,9,9,320.73,35.636667,53.25,1,0.1111,1.00000000,1.0000,0,0,8,4,1.3333,2
100011,12,12,1389.04,115.753333,462.31,0,0.0000,1.00000000,1.0000,0,0,6,10,1.4167,3
100012,10,10,1450.43,145.043000,702.28,0,0.0000,1.00000000,1.0000,0,1,7,5,1.5000,2
100013,8,8,1555.32,194.415000,879.74,1,0.1250,1.00000000,1.0000,0,1,4,7,1.6250,4
100014,10,10,1456.30,145.630000,1135.95,1,0.1000,1.10000000,2.0000,0,1,5,4,1.1000,4
100015,7,7,595.46,85.065714,463.34,0,0.0000,1.00000000,1.0000,0,0,5,6,1.7143,2
100016,5,5,369.24,73.848000,124.46,0,0.0000,1.00000000,1.0000,0,0,4,4,1.6000,2
100017,9,9,399.55,44.394444,177.94,0,0.0000,1.00000000,1.0000,0,0,6,6,1.3333,2
100018,5,5,426.62,85.324000,202.55,0,0.0000,1.00000000,1.0000,0,0,4,2,1.2000,2
100019,9,9,1838.11,204.234444,1138.49,1,0.1111,1.00000000,1.0000,0,1,5,7,1.5556,3
100020,10,10,610.63,61.063000,142.93,1,0.1000,1.00000000,1.0000,0,0,8,6,1.4000,2
100021,4,4,180.12,45.030000,151.61,0,0.0000,1.00000000,1.0000,0,0,3,0,0.7500,1
100022,6,6,364.01,60.668333,139.34,2,0.3333,1.00000000,1.0000,0,0,5,4,1.5000,2
100023,9,9,787.10,87.455556,308.76,0,0.0000,1.00000000,1.0000,0,0,6,6,1.3333,2
100024,6,6,641.86,106.976667,422.54,0,0.0000,1.00000000,1.0000,0,0,5,3,1.5000,3
100025,6,6,377.47,62.911667,97.33,0,0.0000,1.00000000,1.0000,0,0,3,2,0.8333,2
100026,6,6,763.47,127.245000,280.54,2,0.3333,1.00000000,1.0000,0,0,4,4,1.3333,2
100027,7,7,328.03,46.861429,153.99,0,0.0000,1.00000000,1.0000,0,0,4,3,1.0000,2
100028,8,8,591.65,73.956250,294.80,0,0.0000,1.00000000,1.0000,0,0,6,4,1.2500,2
100029,8,8,244.45,30.556250,77.00,0,0.0000,1.00000000,1.0000,0,0,4,5,1.1250,2
100030,7,7,724.71,103.530000,329.12,0,0.0000,1.00000000,1.0000,0,0,6,4,1.5714,3
100031,8,8,496.81,62.101250,134.03,0,0.0000,1.00000000,1.0000,0,0,5,2,0.8750,2
100032,4,4,339.30,84.825000,175.45,0,0.0000,1.00000000,1.0000,0,0,3,0,0.7500,1
100033,9,9,378.17,42.018889,81.94,0,0.0000,1.00000000,1.0000,0,0,5,5,1.1111,2
100034,5,5,712.45,142.490000,391.05,1,0.2000,1.00000000,1.0000,0,0,3,5,1.8000,2
100035,4,4,108.32,27.080000,42.79,1,0.2500,1.00000000,1.0000,0,0,2,3,1.2500,2
100036,3,3,218.83,72.943333,151.16,0,0.0000,1.00000000,1.0000,0,0,3,1,1.3333,2
100037,8,8,510.00,63.750000,155.61,0,0.0000,1.00000000,1.0000,0,0,6,5,1.3750,2
100038,10,10,863.38,86.338000,480.13,0,0.0000,1.00000000,1.0000,0,0,4,5,1.0000,3
100039,8,8,277.40,34.675000,72.73,0,0.0000,1.00000000,1.0000,0,0,7,6,1.6250,2
100040,4,4,411.42,102.855000,161.73,1,0.2500,1.00000000,1.0000,0,0,2,3,1.2500,2
100041,10,10,579.04,57.904000,92.69,0,0.0000,1.00000000,1.0000,0,0,9,6,1.5000,2
100042,5,5,391.11,78.222000,256.64,0,0.0000,1.00000000,1.0000,0,0,3,5,1.6000,2
100043,6,6,995.33,165.888333,799.56,1,0.1667,1.00000000,1.0000,0,1,5,3,1.6667,4
100044,4,4,348.49,87.122500,185.59,0,0.0000,1.00000000,1.0000,0,0,2,1,0.7500,1
100045,5,5,648.32,129.664000,419.91,1,0.2000,1.00000000,1.0000,0,0,2,3,1.2000,2
100046,11,11,574.52,52.229091,191.29,0,0.0000,1.00000000,1.0000,0,0,8,6,1.2727,2
100047,7,7,273.92,39.131429,87.74,0,0.0000,1.00000000,1.0000,0,0,4,4,1.1429,2
100048,11,11,1038.12,94.374545,275.76,0,0.0000,1.00000000,1.0000,0,0,7,4,1.0000,2
100049,6,6,670.02,111.670000,153.73,0,0.0000,1.00000000,1.0000,0,0,3,3,1.0000,2
100050,6,6,423.55,70.591667,223.38,0,0.0000,1.00000000,1.0000,0,0,3,3,1.0000,2
100051,9,9,929.48,103.275556,245.68,0,0.0000,1.00000000,1.0000,0,0,9,3,1.3333,2
100052,8,8,2097.55,262.193750,1506.01,1,0.1250,1.00000000,1.0000,0,1,4,5,1.5000,2
100053,8,7,525.28,65.660000,195.14,0,0.0000,1.25000000,2.0000,0,0,4,4,1.0000,2
100054,8,8,418.08,52.260000,204.44,0,0.0000,1.00000000,1.0000,0,0,6,3,1.1250,2
100055,4,4,307.11,76.777500,220.94,0,0.0000,1.00000000,1.0000,0,0,1,3,1.0000,2
100056,9,9,427.01,47.445556,98.52,0,0.0000,1.00000000,1.0000,0,0,8,3,1.2222,2
