transaction_date,total_transactions,actual_fraud_transactions,predicted_high_risk_transactions,total_transaction_value,actual_fraud_value,potential_exposure,fraud_rate
2024-01-01,274,9,96,29555.170000000002,3748.6399999999994,13465.16,3.2847
2024-01-02,274,4,88,28242.49,428.94,11502.52,1.4599
2024-01-03,274,6,83,24620.4,1978.0,8271.95,2.1898
2024-01-04,274,4,83,20396.7,372.77000000000004,6235.89,1.4599
2024-01-05,274,9,70,27241.83,3446.7200000000003,9836.39,3.2847
2024-01-06,274,7,88,29913.94,6439.4800000000005,14359.69,2.5547
2024-01-07,274,12,99,25870.48,4428.72,11621.699999999999,4.3796
2024-01-08,274,8,92,28085.75,1788.6,11860.84,2.9197
2024-01-09,274,15,76,27175.7,4567.24,10051.61,5.4745
2024-01-10,274,8,98,22532.14,1627.8600000000001,10162.710000000001,2.9197
2024-01-11,274,9,107,26579.46,4153.46,11608.46,3.2847
2024-01-12,274,9,93,24375.99,373.88,8201.08,3.2847
2024-01-13,274,14,93,32139.8,8520.81,14136.61,5.1095
2024-01-14,274,10,81,28426.71,5901.26,10798.66,3.6496
2024-01-15,274,8,84,26698.12,377.6,9654.66,2.9197
2024-01-16,274,5,86,26492.97,326.17,9544.76,1.8248
2024-01-17,274,6,95,24854.12,1748.0,9712.11,2.1898
2024-01-18,274,12,95,26723.02,3748.4900000000002,11747.12,4.3796
2024-01-19,274,7,98,21339.39,363.86,6695.38,2.5547
2024-01-20,274,13,98,26319.11,1036.6100000000001,8441.36,4.7445
2024-01-21,274,6,91,22962.78,1804.1,7843.6,2.1898
2024-01-22,274,8,99,26347.42,5588.7699999999995,12647.05,2.9197
2024-01-23,274,8,97,28656.56,588.9300000000001,10858.85,2.9197
2024-01-24,274,12,90,24071.87,2829.4300000000003,7429.8,4.3796
2024-01-25,274,7,85,25086.56,424.42,7774.11,2.5547
2024-01-26,274,4,96,24598.09,2334.8900000000003,10071.210000000001,1.4599
2024-01-27,274,11,93,25200.07,770.06,7235.94,4.0146
2024-01-28,274,9,81,31154.74,3899.02,13902.68,3.2847
2024-01-29,274,9,101,23693.23,577.36,7660.31,3.2847
2024-01-30,274,8,92,26620.12,1465.6299999999999,8576.91,2.9197
2024-01-31,274,3,87,21259.83,306.65,5738.28,1.0949
2024-02-01,274,7,88,21909.65,493.4,6240.95,2.5547
2024-02-02,274,9,102,23746.9,1299.82,10616.73,3.2847
