transaction_id,customer_id,transaction_date,transaction_type,channel,country,amount,is_fraud
TXN00000001,123655,2024-01-01 00:00:00.000000,Purchase,POS,France,156.11,0
TXN00000002,115796,2024-01-01 00:05:15.361576,Bank Transfer,Mobile,UK,69.84,0
TXN00000003,100861,2024-01-01 00:10:30.723153,Online Transfer,Online,USA,72.78,0
TXN00000004,105391,2024-01-01 00:15:46.084730,ATM Withdrawal,Online,USA,19.85,0
TXN00000005,129803,2024-01-01 00:21:01.446307,Online Transfer,POS,Germany,15.72,0
TXN00000006,121576,2024-01-01 00:26:16.807884,Bank Transfer,POS,France,73.22,0
TXN00000007,111965,2024-01-01 00:31:32.169460,Online Transfer,POS,USA,56.75,0
TXN00000008,111285,2024-01-01 00:36:47.531037,Purchase,POS,India,205.28,0
TXN00000009,122119,2024-01-01 00:42:02.892614,Purchase,Mobile,Germany,41.19,0
TXN00000010,106266,2024-01-01 00:47:18.254191,Purchase,Online,Singapore,21.91,0
TXN00000011,116851,2024-01-01 00:52:33.615768,Bank Transfer,Mobile,UK,642.94,0
TXN00000012,129911,2024-01-01 00:57:48.977344,Purchase,Online,Germany,22.84,0
TXN00000013,104427,2024-01-01 01:03:04.338921,Online Transfer,Mobile,UK,2438.42,0
TXN00000014,121963,2024-01-01 01:08:19.700498,Purchase,POS,UK,116.56,0
TXN00000015,114424,2024-01-01 01:13:35.062075,Purchase,Online,UK,126.76,0
TXN00000016,128021,2024-01-01 01:18:50.423652,Bank Transfer,Mobile,Germany,7.86,0
TXN00000017,111364,2024-01-01 01:24:05.785228,Bank Transfer,Online,UAE,121.75,1
TXN00000018,127496,2024-01-01 01:29:21.146805,Purchase,Mobile,UK,141.63,0
TXN00000019,116024,2024-01-01 01:34:36.508382,ATM Withdrawal,Online,India,181.8,0
TXN00000020,108323,2024-01-01 01:39:51.869959,Purchase,Online,USA,12.78,0
TXN00000021,101686,2024-01-01 01:45:07.231536,Purchase,POS,India,34.25,0
TXN00000022,100770,2024-01-01 01:50:22.593112,Bank Transfer,Branch,India,54.3,0
TXN00000023,126968,2024-01-01 01:55:37.954689,Bank Transfer,Mobile,UK,32.17,0
TXN00000024,123334,2024-01-01 02:00:53.316266,ATM Withdrawal,Branch,UAE,65.36,0
TXN00000025,102434,2024-01-01 02:06:08.677843,Purchase,ATM,India,32.16,0
TXN00000026,105312,2024-01-01 02:11:24.039420,Purchase,Branch,USA,6.27,0
TXN00000027,105052,2024-01-01 02:16:39.400997,Purchase,POS,India,126.6,0
TXN00000028,106421,2024-01-01 02:21:54.762573,Online Transfer,Mobile,USA,19.67,0
TXN00000029,117569,2024-01-01 02:27:10.124150,Bill Payment,POS,Germany,160.92,0
TXN00000030,120940,2024-01-01 02:32:25.485727,Purchase,Online,UK,11.17,0
TXN00000031,119770,2024-01-01 02:37:40.847304,Online Transfer,POS,India,321.14,0
TXN00000032,128694,2024-01-01 02:42:56.208881,Purchase,POS,India,61.55,0
TXN00000033,106397,2024-01-01 02:48:11.570457,Purchase,Mobile,UK,43.12,0
TXN00000034,129420,2024-01-01 02:53:26.932034,ATM Withdrawal,Branch,UK,216.42,0
TXN00000035,127481,2024-01-01 02:58:42.293611,Purchase,Online,India,34.13,0
TXN00000036,108667,2024-01-01 03:03:57.655188,Purchase,POS,USA,103.12,0
TXN00000037,125659,2024-01-01 03:09:13.016765,Bill Payment,ATM,UK,37.02,0
TXN00000038,118943,2024-01-01 03:14:28.378341,Purchase,Online,India,31.33,0
TXN00000039,124234,2024-01-01 03:19:43.739918,ATM Withdrawal,Online,USA,286.31,0
TXN00000040,118432,2024-01-01 03:24:59.101495,ATM Withdrawal,POS,Germany,101.49,0
TXN00000041,102748,2024-01-01 03:30:14.463072,Bill Payment,POS,UK,182.78,0
TXN00000042,125552,2024-01-01 03:35:29.824649,Bank Transfer,Online,Singapore,40.73,0
TXN00000043,126383,2024-01-01 03:40:45.186225,ATM Withdrawal,Mobile,UK,18.71,0
TXN00000044,100190,2024-01-01 03:46:00.547802,Online Transfer,Online,USA,186.78,0
TXN00000045,119119,2024-01-01 03:51:15.909379,Bank Transfer,ATM,UK,79.42,0
TXN00000046,103006,2024-01-01 03:56:31.270956,Purchase,POS,USA,76.05,0
TXN00000047,121043,2024-01-01 04:01:46.632533,Purchase,POS,UK,17.85,0
TXN00000048,101900,2024-01-01 04:07:01.994109,Bank Transfer,ATM,India,48.67,0
TXN00000049,124119,2024-01-01 04:12:17.355686,Purchase,Online,UAE,61.5,0
TXN00000050,101268,2024-01-01 04:17:32.717263,Purchase,Branch,France,42.43,0
TXN00000051,117913,2024-01-01 04:22:48.078840,Bank Transfer,ATM,UK,54.19,0
TXN00000052,111395,2024-01-01 04:28:03.440417,Online Transfer,POS,UK,63.17,0
TXN00000053,103557,2024-01-01 04:33:18.801994,Purchase,POS,India,16.6,0
TXN00000054,103891,2024-01-01 04:38:34.163570,Purchase,Online,Germany,10.61,0
TXN00000055,108839,2024-01-01 04:43:49.525147,Purchase,Mobile,Germany,49.24,1
TXN00000056,127465,2024-01-01 04:49:04.886724,Purchase,POS,Germany,153.29,0
TXN00000057,114503,2024-01-01 04:54:20.248301,Purchase,POS,Germany,23.69,0
TXN00000058,121778,2024-01-01 04:59:35.609878,Online Transfer,POS,UK,84.96,0
TXN00000059,110628,2024-01-01 05:04:50.971454,Purchase,ATM,UK,490.25,0
TXN00000060,108793,2024-01-01 05:10:06.333031,Bill Payment,Branch,UK,62.45,0
TXN00000061,110556,2024-01-01 05:15:21.694608,Purchase,Mobile,UK,595.46,0
TXN00000062,110254,2024-01-01 05:20:37.056185,Purchase,ATM,UAE,179.28,0
TXN00000063,108434,2024-01-01 05:25:52.417762,Purchase,Mobile,Germany,31.62,0
TXN00000064,110234,2024-01-01 05:31:07.779338,Purchase,Mobile,UK,88.18,0
TXN00000065,111017,2024-01-01 05:36:23.140915,Bill Payment,Branch,UK,6.84,0
TXN00000066,123898,2024-01-01 05:41:38.502492,Purchase,Mobile,USA,77.32,0
TXN00000067,102613,2024-01-01 05:46:53.864069,Online Transfer,POS,Australia,53.22,0
TXN00000068,123426,2024-01-01 05:52:09.225646,Bank Transfer,POS,India,42.59,0
TXN00000069,125940,2024-01-01 05:57:24.587222,ATM Withdrawal,Online,Germany,43.19,0
TXN00000070,122620,2024-01-01 06:02:39.948799,ATM Withdrawal,Branch,India,30.86,0
TXN00000071,121871,2024-01-01 06:07:55.310376,Purchase,Online,Singapore,13.73,0
TXN00000072,123484,2024-01-01 06:13:10.671953,Online Transfer,ATM,India,149.38,0
TXN00000073,126055,2024-01-01 06:18:26.033530,ATM Withdrawal,Online,UK,72.57,0
TXN00000074,115788,2024-01-01 06:23:41.395106,Purchase,ATM,USA,147.12,0
TXN00000075,127133,2024-01-01 06:28:56.756683,Purchase,Online,India,49.16,0
TXN00000076,117160,2024-01-01 06:34:12.118260,Online Transfer,POS,USA,37.37,0
TXN00000077,112207,2024-01-01 06:39:27.479837,Purchase,Online,USA,225.3,0
TXN00000078,108227,2024-01-01 06:44:42.841414,Purchase,POS,India,13.1,0
TXN00000079,114542,2024-01-01 06:49:58.202991,Purchase,Online,USA,7.03,0
TXN00000080,103153,2024-01-01 06:55:13.564567,Purchase,Online,Singapore,343.78,0
TXN00000081,126532,2024-01-01 07:00:28.926144,Purchase,Mobile,USA,43.91,0
TXN00000082,101586,2024-01-01 07:05:44.287721,Bill Payment,Online,UK,27.82,0
TXN00000083,103944,2024-01-01 07:10:59.649298,Bank Transfer,POS,UK,21.47,0
TXN00000084,123940,2024-01-01 07:16:15.010875,Bill Payment,POS,UK,29.84,0
TXN00000085,119458,2024-01-01 07:21:30.372451,Bill Payment,Online,Germany,17.44,0
TXN00000086,101022,2024-01-01 07:26:45.734028,Bill Payment,POS,UK,4.27,0
